tweet_id	date	time	lang	country_code
1542061897515671553	2022-06-29	08:26:21	en	NULL
1542061907418288128	2022-06-29	08:26:23	en	NULL
1542061945561432066	2022-06-29	08:26:32	en	NULL
1542061962002964481	2022-06-29	08:26:36	en	NULL
1542061965966581761	2022-06-29	08:26:37	en	NULL
1542061968067948545	2022-06-29	08:26:37	en	NULL
1542061970177802241	2022-06-29	08:26:38	en	NULL
1542061972178763776	2022-06-29	08:26:38	en	NULL
1542061974716321792	2022-06-29	08:26:39	en	NULL
1542061975743696896	2022-06-29	08:26:39	fr	NULL
1542061996937359360	2022-06-29	08:26:44	en	NULL
1542062010996768771	2022-06-29	08:26:48	en	NULL
1542062013903298560	2022-06-29	08:26:48	ja	NULL
1542062015069700096	2022-06-29	08:26:49	en	NULL
1542062019100020736	2022-06-29	08:26:50	en	NULL
1542062019309887488	2022-06-29	08:26:50	en	NULL
1542062028952674305	2022-06-29	08:26:52	qme	NULL
1542062029900763136	2022-06-29	08:26:52	en	NULL
1542062040835129344	2022-06-29	08:26:55	en	NULL
1542062042588356608	2022-06-29	08:26:55	en	NULL
1542062045322805248	2022-06-29	08:26:56	th	NULL
1542062053313040384	2022-06-29	08:26:58	en	NULL
1542062061332463616	2022-06-29	08:27:00	en	NULL
1542062070983970816	2022-06-29	08:27:02	th	NULL
1542062078717898753	2022-06-29	08:27:04	en	NULL
1542062090562797569	2022-06-29	08:27:07	pt	NULL
1542062093700055040	2022-06-29	08:27:07	en	NULL
1542062095314739200	2022-06-29	08:27:08	zh	NULL
1542062105913958400	2022-06-29	08:27:10	en	NULL
1542062109885755392	2022-06-29	08:27:11	qht	NULL
1542062112872472576	2022-06-29	08:27:12	en	NULL
1542062115216756736	2022-06-29	08:27:13	en	NULL
1542062132048584706	2022-06-29	08:27:17	fr	NULL
1542062146195927040	2022-06-29	08:27:20	en	NULL
1542062146242064384	2022-06-29	08:27:20	en	NULL
1542062146996932609	2022-06-29	08:27:20	th	NULL
1542062153527853056	2022-06-29	08:27:22	ja	NULL
1542062160444276736	2022-06-29	08:27:23	ja	NULL
1542062166580539392	2022-06-29	08:27:25	th	NULL
1542062172913782786	2022-06-29	08:27:26	en	NULL
1542062173761011715	2022-06-29	08:27:27	en	NULL
1542062177288437761	2022-06-29	08:27:27	fr	NULL
1542062184024645632	2022-06-29	08:27:29	en	NULL
1542062188017246209	2022-06-29	08:27:30	qht	NULL
1542062192211759106	2022-06-29	08:27:31	nl	NULL
1542062216391835649	2022-06-29	08:27:37	cs	NULL
1542062218858070017	2022-06-29	08:27:37	en	NULL
1542062220020011008	2022-06-29	08:27:38	en	NULL
1542062221496356869	2022-06-29	08:27:38	it	NULL
1542062227343409152	2022-06-29	08:27:39	ja	NULL
1542062243684446213	2022-06-29	08:27:43	en	NULL
1542062246787940354	2022-06-29	08:27:44	en	NULL
1542062273727971329	2022-06-29	08:27:50	en	NULL
1542062279931428866	2022-06-29	08:27:52	nl	NULL
1542062283731468293	2022-06-29	08:27:53	en	NULL
1542062286327537664	2022-06-29	08:27:53	en	NULL
1542062291587584000	2022-06-29	08:27:55	en	NULL
1542062295370432512	2022-06-29	08:27:56	en	NULL
1542062297706688512	2022-06-29	08:27:56	en	NULL
1542062300395364352	2022-06-29	08:27:57	en	NULL
1542062305541664769	2022-06-29	08:27:58	hi	NULL
1542062305919246336	2022-06-29	08:27:58	en	NULL
1542062306833473536	2022-06-29	08:27:58	en	NULL
1542062309182521347	2022-06-29	08:27:59	en	NULL
1542062318992986112	2022-06-29	08:28:01	fr	NULL
1542062319458557954	2022-06-29	08:28:01	fr	NULL
1542062319949479936	2022-06-29	08:28:01	th	NULL
1542062322050531328	2022-06-29	08:28:02	fr	NULL
1542062323690373120	2022-06-29	08:28:02	en	NULL
1542062326970474498	2022-06-29	08:28:03	fr	NULL
1542062334218215424	2022-06-29	08:28:05	sl	NULL
1542062334746759168	2022-06-29	08:28:05	de	NULL
1542062337808601088	2022-06-29	08:28:06	ja	NULL
1542062342598545408	2022-06-29	08:28:07	de	NULL
1542062346289422337	2022-06-29	08:28:08	en	NULL
1542062352908124160	2022-06-29	08:28:09	fr	NULL
1542062358591569922	2022-06-29	08:28:11	th	NULL
1542062360416092160	2022-06-29	08:28:11	en	NULL
1542062363766972416	2022-06-29	08:28:12	th	NULL
1542062376601587713	2022-06-29	08:28:15	th	NULL
1542062379210514434	2022-06-29	08:28:15	en	NULL
1542062382263959552	2022-06-29	08:28:16	en	NULL
1542062383132205056	2022-06-29	08:28:16	en	NULL
1542062383962923008	2022-06-29	08:28:17	in	NULL
1542062384487055361	2022-06-29	08:28:17	en	NULL
1542062384957001728	2022-06-29	08:28:17	th	NULL
1542062386642882561	2022-06-29	08:28:17	en	NULL
1542062387611815937	2022-06-29	08:28:17	en	NULL
1542062389222334464	2022-06-29	08:28:18	qst	NULL
1542062391059369984	2022-06-29	08:28:18	qht	NULL
1542062395799085056	2022-06-29	08:28:19	en	IE
1542062402971254786	2022-06-29	08:28:21	nl	NULL
1542062420482740225	2022-06-29	08:28:25	th	NULL
1542062426316832769	2022-06-29	08:28:27	en	NULL
1542062436752281600	2022-06-29	08:28:29	en	NULL
1542062440052957185	2022-06-29	08:28:30	en	NULL
1542062450429812736	2022-06-29	08:28:32	qme	NULL
1542062455253307394	2022-06-29	08:28:34	fr	NULL
1542062455680954368	2022-06-29	08:28:34	en	NULL
1542062456280911873	2022-06-29	08:28:34	es	NULL
1542062458382286848	2022-06-29	08:28:34	en	NULL
1542062459636555778	2022-06-29	08:28:35	en	NULL
1542062468310220800	2022-06-29	08:28:37	en	NULL
1542062469182623747	2022-06-29	08:28:37	art	NULL
1542062480603725825	2022-06-29	08:28:40	en	NULL
1542062483590238209	2022-06-29	08:28:40	th	NULL
1542062486785884160	2022-06-29	08:28:41	qht	NULL
1542062496713940992	2022-06-29	08:28:44	fr	NULL
1542062549973307392	2022-06-29	08:28:56	ja	NULL
1542062551214632961	2022-06-29	08:28:57	th	NULL
1542062556344360961	2022-06-29	08:28:58	qht	NULL
